City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
529,mahenge,-8.6833,36.7167,19.16,90,84,1.71,TZ,1697329846
530,beboto,8.2668,16.939,23.68,86,100,2.75,TD,1697329846
531,khash,28.2211,61.2158,19.02,32,5,0.72,IR,1697329846
532,krasnovishersk,60.4078,57.082,0.86,94,94,2.87,RU,1697329846
533,mutoko,-17.397,32.2268,16.84,81,100,1.81,ZW,1697329846
534,mogocha,53.7333,119.7667,-0.7,55,0,4.02,RU,1697329847
535,bochum,51.4833,7.2167,8.54,75,18,1.34,DE,1697329349
536,santa terezinha,-29.9002,-50.0904,16.72,87,83,7.93,BR,1697329847
537,viedma,-40.8135,-62.9967,15.13,52,100,5.82,AR,1697329834
538,janeng,-25.4167,25.55,14.8,14,99,5.59,BW,1697329847
539,pacocha,-17.5833,-71.3333,17.52,89,86,0.56,PE,1697329848
540,kadnikov,59.5022,40.338,11.01,88,100,6.43,RU,1697329848
541,roxas,11.5853,122.7511,28.41,72,34,1.51,PH,1697329848
542,mysen,59.5535,11.3258,10.56,76,100,2.94,NO,1697329848
543,hadibu,12.65,54.0333,26.67,77,3,1.55,YE,1697329848
544,rawson,-43.3002,-65.1023,13.92,59,51,0.91,AR,1697329849
545,dourbali,11.8091,15.8632,30.17,23,100,3.2,TD,1697329849
546,usogorsk,63.4106,48.6872,2.59,96,100,5.39,RU,1697329849
547,atakpame,7.5333,1.1333,22.89,97,81,1.55,TG,1697329849
548,xining,36.6167,101.7667,6.0,43,0,1.02,CN,1697329849
549,corbu,44.3833,28.65,13.62,94,0,3.09,RO,1697329849
550,nevada,39.2502,-116.7512,13.01,29,91,1.49,US,1697329850
551,yashkul',46.1711,45.3435,12.17,33,0,2.9,RU,1697329850
552,orchard homes,46.8633,-114.0484,15.89,65,100,2.57,US,1697329850
553,viechtach,49.0792,12.8847,10.3,95,99,0.45,DE,1697329850
554,las heras,-46.5419,-68.9359,11.78,40,0,5.72,AR,1697329850
555,laguna,38.421,-121.4238,27.09,37,0,2.57,US,1697329850
